item	item_desc	qty	lot_no	location	received_date	exp_date
106189401	CT 4767-2 NAISEI PLATE	118000		blank	2017-08-29	2018-03-01
106189401	CT 4767-2 NAISEI PLATE	118500		blank	2017-08-29	2018-03-01
106189401	CT 4767-2 NAISEI PLATE	117500		blank	2017-08-29	2018-03-01
106189401	CT 4767-2 NAISEI PLATE	118000		blank	2017-08-29	2018-03-01
106189401	CT 4767-2 NAISEI PLATE	118700		blank	2017-08-29	2018-03-01
106189401	CT 4767-2 NAISEI PLATE	118700		blank	2017-08-29	2018-03-01
102754902	CT 3902-2 (YEC)	3200		blank	2017-08-29	2018-03-01
103269201	CT 3864-10-A	3000		blank	2017-08-29	2018-03-01
103269301	CT 3864-10-B	3000		blank	2017-08-29	2018-03-01
103498002	CT 4149-1-H	8200		blank	2017-08-29	2018-03-01
103498002	CT 4149-1-H	4800		blank	2017-08-29	2018-03-01
106880701	CT 4714-2A(NAISEI PLATE)	33800		blank	2017-08-29	2018-03-01
106880701	CT 4714-2A(NAISEI PLATE)	34000		blank	2017-08-29	2018-03-01
106880701	CT 4714-2A(NAISEI PLATE)	33500		blank	2017-08-29	2018-03-01
106880701	CT 4714-2A(NAISEI PLATE)	33500		blank	2017-08-29	2018-03-01
106880701	CT 4714-2A(NAISEI PLATE)	33500		blank	2017-08-29	2018-03-01
106880701	CT 4714-2A(NAISEI PLATE)	33800		blank	2017-08-29	2018-03-01
106880701	CT 4714-2A(NAISEI PLATE)	34000		blank	2017-08-29	2018-03-01
106880701	CT 4714-2A(NAISEI PLATE)	33700		blank	2017-08-29	2018-03-01
106880701	CT 4714-2A(NAISEI PLATE)	33700		blank	2017-08-29	2018-03-01
106880701	CT 4714-2A(NAISEI PLATE)	26500		blank	2017-08-29	2018-03-01
106880701	CT 4714-2A(NAISEI PLATE)	33800		blank	2017-08-29	2018-03-01
101861601	CT 3594 BF(YEC)	42300		blank	2017-08-29	2018-03-01
008103301	CONTACT 110-4-2VA(81033) [R]	50000		S-RN/L4-00803	2017-08-29	2018-03-01
021511703	CT 2283-2 BARERU-SYORIZUMIAU-3BLACK	3300		S-RO/L3-00871	2017-08-29	2018-03-01
021511703	CT 2283-2 BARERU-SYORIZUMIAU-3BLACK	32300		S-RO/L3-00871	2017-08-29	2018-03-01
021511703	CT 2283-2 BARERU-SYORIZUMIAU-3BLACK	31200		S-RO/L3-00871	2017-08-29	2018-03-01
021511703	CT 2283-2 BARERU-SYORIZUMIAU-3BLACK	23200		S-RO/L3-00871	2017-08-29	2018-03-01
106992501	CT 4714-2A (ASAHIKINZOKU)	37500			2017-08-29	2018-03-01
106992501	CT 4714-2A (ASAHIKINZOKU)	37500			2017-08-29	2018-03-01
106992501	CT 4714-2A (ASAHIKINZOKU)	37500			2017-08-29	2018-03-01
106992501	CT 4714-2A (ASAHIKINZOKU)	37200			2017-08-29	2018-03-01
106992501	CT 4714-2A (ASAHIKINZOKU)	37500			2017-08-29	2018-03-01
106992501	CT 4714-2A (ASAHIKINZOKU)	37800			2017-08-29	2018-03-01
106992501	CT 4714-2A (ASAHIKINZOKU)	37500			2017-08-29	2018-03-01
106992501	CT 4714-2A (ASAHIKINZOKU)	37500			2017-08-29	2018-03-01
106992501	CT 4714-2A (ASAHIKINZOKU)	-100			2017-08-29	2018-03-01
106992501	CT 4714-2A (ASAHIKINZOKU)	38300			2017-08-29	2018-03-01
106992501	CT 4714-2A (ASAHIKINZOKU)	37500			2017-08-29	2018-03-01
106992501	CT 4714-2A (ASAHIKINZOKU)	37500			2017-08-29	2018-03-01
106992501	CT 4714-2A (ASAHIKINZOKU)	38000			2017-08-29	2018-03-01
106992501	CT 4714-2A (ASAHIKINZOKU)	38000			2017-08-29	2018-03-01
106992501	CT 4714-2A (ASAHIKINZOKU)	38100			2017-08-29	2018-03-01
106992501	CT 4714-2A (ASAHIKINZOKU)	200			2017-08-29	2018-03-01
106992501	CT 4714-2A (ASAHIKINZOKU)	37000			2017-08-29	2018-03-01
106992501	CT 4714-2A (ASAHIKINZOKU)	36800			2017-08-29	2018-03-01
106992501	CT 4714-2A (ASAHIKINZOKU)	37500			2017-08-29	2018-03-01
105623501	CT 4741-2-A/B/C-PD	20600		blank	2017-08-29	2018-03-01
105623501	CT 4741-2-A/B/C-PD	20600		blank	2017-08-29	2018-03-01
105623501	CT 4741-2-A/B/C-PD	20500		blank	2017-08-29	2018-03-01
105623501	CT 4741-2-A/B/C-PD	20600		blank	2017-08-29	2018-03-01
105623501	CT 4741-2-A/B/C-PD	20600		blank	2017-08-29	2018-03-01
105623501	CT 4741-2-A/B/C-PD	20600		blank	2017-08-29	2018-03-01
105623501	CT 4741-2-A/B/C-PD	20600		blank	2017-08-29	2018-03-01
105623501	CT 4741-2-A/B/C-PD	20200		blank	2017-08-29	2018-03-01
105623501	CT 4741-2-A/B/C-PD	20600		blank	2017-08-29	2018-03-01
105623501	CT 4741-2-A/B/C-PD	19800		blank	2017-08-29	2018-03-01
105623501	CT 4741-2-A/B/C-PD	20700		blank	2017-08-29	2018-03-01
105623501	CT 4741-2-A/B/C-PD	19900		blank	2017-08-29	2018-03-01
105623501	CT 4741-2-A/B/C-PD	20300		blank	2017-08-29	2018-03-01
105623501	CT 4741-2-A/B/C-PD	20400		blank	2017-08-29	2018-03-01
105623501	CT 4741-2-A/B/C-PD	20400		blank	2017-08-29	2018-03-01
105623501	CT 4741-2-A/B/C-PD	20600		blank	2017-08-29	2018-03-01
105623501	CT 4741-2-A/B/C-PD	20400		blank	2017-08-29	2018-03-01
105623501	CT 4741-2-A/B/C-PD	20700		blank	2017-08-29	2018-03-01
105623501	CT 4741-2-A/B/C-PD	20600		blank	2017-08-29	2018-03-01
105623501	CT 4741-2-A/B/C-PD	20400		blank	2017-08-29	2018-03-01
105623501	CT 4741-2-A/B/C-PD	17600		blank	2017-08-29	2018-03-01
105623501	CT 4741-2-A/B/C-PD	20600		blank	2017-08-29	2018-03-01
105623501	CT 4741-2-A/B/C-PD	20600		blank	2017-08-29	2018-03-01
105623501	CT 4741-2-A/B/C-PD	20400		blank	2017-08-29	2018-03-01
105623501	CT 4741-2-A/B/C-PD	20600		blank	2017-08-29	2018-03-01
105623501	CT 4741-2-A/B/C-PD	20500		blank	2017-08-29	2018-03-01
105623501	CT 4741-2-A/B/C-PD	20500		blank	2017-08-29	2018-03-01
105623501	CT 4741-2-A/B/C-PD	20700		blank	2017-08-29	2018-03-01
106062901	CT 5128-A/B-YD	51400		blank	2017-08-29	2018-03-01
106062901	CT 5128-A/B-YD	51400		blank	2017-08-29	2018-03-01
106062901	CT 5128-A/B-YD	46100		blank	2017-08-29	2018-03-01
106062901	CT 5128-A/B-YD	51000		blank	2017-08-29	2018-03-01
106062901	CT 5128-A/B-YD	51500		blank	2017-08-29	2018-03-01
106062901	CT 5128-A/B-YD	50200		blank	2017-08-29	2018-03-01
